basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff
1,70590,49.08768947,18.70944893,70.97039241,36.99957501,74.96104264,2.67318317,0.076498088,16.84657884,0.007083156,7.920385324,3.562678946,28.68445866,33879,1.90997373,0.20906644,0.705482363,6.791330217,150536,7.9,3.702281117,2,-74.01205358,40.70974422,7.608695652
10,52152,51.93281178,12.07240374,73.41233318,27.06703482,69.68860255,8.394692437,0.157232704,14.30242368,0,17.11919006,2.566999753,31.76789021,28321,1.654320116,0.296038503,1.033517411,13.78662372,98175,9.1,5.623323099,2,-73.99714595,40.71641499,6.818181818
100,49319,50.13078124,24.80180052,56.03925465,33.81860946,63.16632535,22.64036173,0.488655488,5.137979278,0,16.87787668,0.630275129,41.15190962,18246,2.272826921,0.118169468,1.147630731,11.02820414,72393,13.8,7.795466344,2,-74.00238132,40.7336619,14.21875
101,72198,45.13975456,33.24468822,51.86016233,24.73060196,37.16723455,47.9583922,0.277015984,3.0831879,0.078949555,28.0727998,2.827314275,45.28118755,22318,2.515010306,0.086581346,1.318596083,23.5477437,40428,24.9,10.45555888,2,-73.98394596,40.71543855,13.79381443
102,156410,49.43098267,25.36154977,61.74413401,38.99430983,38.2545873,6.631928905,0.650214181,26.45802698,0.030688575,41.56319928,2.54374129,46.10544497,45209,2.775199628,0.055412058,2.896234256,15.06809028,62151,21.2,7.945712674,2,-73.98338743,40.72626544,13.93478261
103,109480,48.27365729,26.54000731,60.30690537,32.94665692,9.704968944,39.67025941,0.558092802,22.33101936,0.003653635,26.00840336,5.704645076,50.1230315,31711,2.739932516,0.05931677,2.531055901,18.5851297,49296,21.9,13.94377427,2,-74.00168798,40.75053874,12.65034965
104,174354,48.72156647,23.24753089,61.87125044,38.59332163,80.0664166,1.967262007,0.195005563,8.737969877,0.042442387,35.75541714,1.495521563,39.93041058,61517,2.45390705,0.092346605,1.460247542,12.44422267,64409,18.8,6.473485506,2,-73.98443922,40.73804006,13.94252874
105,198527,46.27078433,22.08969057,59.83367502,36.56933314,16.89795343,57.14940537,0.214580385,15.50821803,0.107793902,11.80091373,0.775826188,40.77171531,60065,2.676933322,0.0612763,1.110680159,8.605882323,77672,14.4,8.321012927,2,-73.98713822,40.75203431,12.264
106,135396,48.83157553,23.7089722,60.79426276,39.21164584,33.53200981,15.84389495,0.846406098,21.19191113,0.053915921,25.7917516,1.87696315,47.85521812,39159,2.825327511,0.048664658,2.662560194,13.63703507,66511,19.1,10.10908989,2,-73.97112551,40.75127736,13.19753086
107,160819,47.4179046,24.09292434,59.20071633,41.99255063,39.69991108,12.07071304,0.237534122,34.31373159,0.011814524,18.61098502,2.563820423,46.2019691,54528,2.446504548,0.091183256,2.058836332,14.01078231,64540,15.8,9.228599908,2,-73.98500434,40.76329703,11.23684211
