basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff,NR_CrimeCount,R_CrimeCount,R_MedianDiff,R_SDDiff,R_1DAY,R_1WEEK,R_1MONTH,R_MONTHS,crime.cap
10A17,29788.27604,50.85949544,24.27235494,63.28537716,0.231394781,63.62862728,5.263743256,1.025553525,11.93440002,0.294327574,40.72647334,2.749818072,55.7446779,1437.792701,0.156542338,3.041575757,15.515695,12.37369872,68970.20467,5.490394994,5.501573927,1,-118.3466487,34.26958047,202.2666667,7500,15,31,336.7395065,0.214285714,0.25,0.25,0.285714286,0.252280461
10A21,40652.7851,48.97893782,25.74901536,61.97808513,0.222853882,76.09660437,3.756823729,0.372729498,10.36557527,0.470940784,49.28389826,5.426552666,57.31018505,1651.522086,0.131347456,3.29793119,25.87994834,21.70877536,53324.52715,5.823875438,4.139932204,1,-118.283479,34.25185961,248.5277778,9970,36,7,444.8871116,0.169230769,0.276923077,0.323076923,0.230769231,0.246133198
10A3,40311.97777,49.86516627,24.97053623,64.38252806,0.204304102,68.18920331,7.044446757,1.47740826,14.91694815,0.293536746,53.91222834,5.719899241,52.31678713,1620.825933,0.161548901,3.542321945,25.89571038,19.44542534,54095.86228,5.47307366,5.001759312,1,-118.4664377,33.99562065,163.2580645,9451,31,3,420.63642,0.203125,0.3125,0.34375,0.140625,0.23521545
10A39,24000.65633,50.34795632,29.88526109,61.76725713,0.184454343,41.64486265,5.403538868,0.45067782,7.865744048,0.220914002,66.30834063,9.185591226,54.51373957,1410.891147,0.176416745,3.237594249,29.34166797,23.27219833,42717.71035,7.484447462,7.663239372,1,-118.4145824,33.99541106,246.8611111,7566,36,2.5,511.4781466,0.202702703,0.310810811,0.324324324,0.162162162,0.316741338
10A83,34253.10662,48.49882945,22.56001855,59.89171033,0.265355449,80.35625803,4.976481043,0.288645942,9.913360281,0.451621424,17.66021802,1.169160175,52.50589056,1602.199833,0.154095423,2.6345269,6.02558837,10.94708893,87930.11995,5.104315614,4.690347498,1,-118.409466,33.94202363,138.0571429,9619,35,3,345.9146395,0.183098592,0.323943662,0.366197183,0.126760563,0.281843049
10A99,36037.44156,46.38877611,19.73952257,57.86454897,0.316966817,87.2044032,4.35321896,0.209091876,9.62509566,0.058771155,8.476819077,0.516088473,47.0228935,1998.252399,0.119918689,2.398239777,6.02707087,10.61813196,96924.92469,1.724720054,5.502969272,1,-118.5266229,34.28731425,38.28571429,9050,21,4,95.28491111,0.128205128,0.333333333,0.435897436,0.102564103,0.251710432
11A1,31398.85099,48.74097381,14.23789323,70.99774529,0.220638041,67.25482063,3.538665794,0.815966866,18.4107891,0.621747596,24.62214288,1.824841977,41.10503607,1522.667623,0.251240956,2.257380406,10.39805865,10.8282131,68941.47812,4.205610113,6.580861617,1,-118.5375904,34.23606391,156,10208,26,7.5,320.7300422,0.1875,0.270833333,0.333333333,0.208333333,0.325935494
11A17,38044.82365,48.36860174,21.98168198,61.59882186,0.258254664,58.89015494,2.461226695,1.920764966,29.55815904,0.687141213,39.16118924,1.706417905,39.06302878,1455.956828,0.130238796,2.769250316,11.95184406,10.68862418,76697.21964,4.604570367,5.270658738,1,-118.5728664,34.2363856,115.7391304,8235,23,12,242.8688792,0.088235294,0.235294118,0.382352941,0.294117647,0.217059752
11A25,27798.71555,48.43962133,23.70765508,63.7002162,0.209252683,55.61245412,2.663690105,3.502998884,16.96559304,0.587720798,62.21071276,2.363256252,44.05459591,1127.821844,0.173747085,3.070273113,22.90962106,16.2140311,56637.79319,5.360476853,6.220607293,1,-118.6322949,34.18847727,72.64705882,5742,17,7,132.764802,0.133333333,0.3,0.433333333,0.133333333,0.207167845
11A37,31450.47635,49.34273652,26.13058955,65.11930051,0.191247546,48.50489609,3.089251401,2.090870152,8.369023002,0.398013536,73.72292506,8.449245894,52.66164408,1325.622819,0.201463182,3.250651316,33.27208013,26.00737897,46600.28327,7.48906147,6.472779243,1,-118.5933463,34.19233552,160.6428571,7644,28,2,353.6290392,0.196428571,0.303571429,0.321428571,0.178571429,0.243939072
