basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff,NR_CrimeCount,R_CrimeCount,R_MedianDiff,R_SDDiff,R_1DAY,R_1WEEK,R_1MONTH,R_MONTHS,crime.cap
1,70590,49.08768947,18.70944893,70.97039241,36.99957501,74.96104264,2.67318317,0.076498088,16.84657884,0.007083156,7.920385324,3.562678946,28.68445866,33879,1.90997373,0.20906644,0.705482363,6.791330217,150536,7.9,3.702281117,2,-74.01205358,40.70974422,443.673913,35953,46,2,1817.39023,0.456521739,0.282608696,0.108695652,0.152173913,0.509973084
10,52152,51.93281178,12.07240374,73.41233318,27.06703482,69.68860255,8.394692437,0.157232704,14.30242368,0,17.11919006,2.566999753,31.76789021,28321,1.654320116,0.296038503,1.033517411,13.78662372,98175,9.1,5.623323099,2,-73.99714595,40.71641499,171.4545455,23903,55,1,622.5124963,0.563636364,0.181818182,0.109090909,0.145454545,0.459387943
100,49319,50.13078124,24.80180052,56.03925465,33.81860946,63.16632535,22.64036173,0.488655488,5.137979278,0,16.87787668,0.630275129,41.15190962,18246,2.272826921,0.118169468,1.147630731,11.02820414,72393,13.8,7.795466344,2,-74.00238132,40.7336619,893.90625,16162,32,13,1810.942445,0.375,0.09375,0.09375,0.4375,0.328352156
101,72198,45.13975456,33.24468822,51.86016233,24.73060196,37.16723455,47.9583922,0.277015984,3.0831879,0.078949555,28.0727998,2.827314275,45.28118755,22318,2.515010306,0.086581346,1.318596083,23.5477437,40428,24.9,10.45555888,2,-73.98394596,40.71543855,627.1958763,26270,97,8,1788.400668,0.391752577,0.103092784,0.072164948,0.432989691,0.365204022
102,156410,49.43098267,25.36154977,61.74413401,38.99430983,38.2545873,6.631928905,0.650214181,26.45802698,0.030688575,41.56319928,2.54374129,46.10544497,45209,2.775199628,0.055412058,2.896234256,15.06809028,62151,21.2,7.945712674,2,-73.98338743,40.72626544,503.3043478,35844,92,11,1152.446359,0.391304348,0.076086957,0.119565217,0.413043478,0.229755131
103,109480,48.27365729,26.54000731,60.30690537,32.94665692,9.704968944,39.67025941,0.558092802,22.33101936,0.003653635,26.00840336,5.704645076,50.1230315,31711,2.739932516,0.05931677,2.531055901,18.5851297,49296,21.9,13.94377427,2,-74.00168798,40.75053874,266.1678322,47461,143,4,799.2529521,0.398601399,0.153846154,0.041958042,0.405594406,0.434819145
104,174354,48.72156647,23.24753089,61.87125044,38.59332163,80.0664166,1.967262007,0.195005563,8.737969877,0.042442387,35.75541714,1.495521563,39.93041058,61517,2.45390705,0.092346605,1.460247542,12.44422267,64409,18.8,6.473485506,2,-73.98443922,40.73804006,527.7586207,40623,87,7,1756.122857,0.379310345,0.126436782,0.045977011,0.448275862,0.233490485
105,198527,46.27078433,22.08969057,59.83367502,36.56933314,16.89795343,57.14940537,0.214580385,15.50821803,0.107793902,11.80091373,0.775826188,40.77171531,60065,2.676933322,0.0612763,1.110680159,8.605882323,77672,14.4,8.321012927,2,-73.98713822,40.75203431,386.512,43031,125,4,1161.995146,0.368,0.184,0.08,0.368,0.217381011
106,135396,48.83157553,23.7089722,60.79426276,39.21164584,33.53200981,15.84389495,0.846406098,21.19191113,0.053915921,25.7917516,1.87696315,47.85521812,39159,2.825327511,0.048664658,2.662560194,13.63703507,66511,19.1,10.10908989,2,-73.97112551,40.75127736,419.8888889,35898,81,7,993.9688375,0.395061728,0.12345679,0.061728395,0.419753086,0.265731632
107,160819,47.4179046,24.09292434,59.20071633,41.99255063,39.69991108,12.07071304,0.237534122,34.31373159,0.011814524,18.61098502,2.563820423,46.2019691,54528,2.446504548,0.091183256,2.058836332,14.01078231,64540,15.8,9.228599908,2,-73.98500434,40.76329703,472.5131579,28267,76,2,1432.660504,0.473684211,0.118421053,0.065789474,0.342105263,0.176241613
108,120693,50.7171087,19.04335794,67.49107239,36.58124332,54.6046581,2.175768272,0.244421797,31.68452189,0.009114033,35.11222689,4.581759778,41.77644942,46074,2.275057516,0.123917709,3.787295038,13.84173067,67643,19.2,5.508062672,2,-73.95652002,40.77278741,219.1184211,29828,76,1,826.0294905,0.526315789,0.131578947,0.105263158,0.236842105,0.247769133
109,248696,47.9291987,19.30911635,60.6101425,46.12016277,32.6474893,2.560555859,0.325296748,52.27184997,0.047045389,17.61709075,3.389121825,50.16679554,86099,2.50044716,0.082643066,3.197880143,16.26885837,54602,18,6.096526273,2,-73.98169683,40.77939053,552.7802198,47280,91,13,1904.776976,0.307692308,0.142857143,0.153846154,0.395604396,0.190477531
110,167941,51.61395966,24.17098862,62.20339286,35.67741052,35.74112337,7.716400403,0.685359739,34.05183963,0.003572683,51.54369689,9.466634966,53.11348563,50472,2.695573783,0.061884829,3.706063439,20.48933852,45901,28.4,6.080636029,2,-73.96555533,40.78247566,537.5202703,40225,148,7.5,1348.714598,0.385135135,0.114864865,0.047297297,0.452702703,0.240399902
111,119979,48.19843473,20.60110519,58.14267497,47.14241659,48.35012794,2.164545462,0.078347044,42.92167796,0.049175272,11.69037915,0.717241379,39.66711854,43500,2.433356322,0.09152435,1.579443069,7.43880179,79454,11.1,5.760040915,2,-73.94453596,40.7911915,461.8888889,17327,18,4,1244.125721,0.333333333,0.333333333,0.055555556,0.277777778,0.144566966
112,114936,46.69294216,18.7921974,60.14912647,42.8943064,62.0493144,3.271385815,0.291466555,27.15337231,0.062643558,15.75833507,2.773037543,41.93957768,51568,2.017646603,0.187747964,1.55738846,11.66910281,68212,10.8,5.718517564,2,-73.97007366,40.79561213,355.7272727,20625,33,7,650.0373678,0.333333333,0.181818182,0.090909091,0.393939394,0.179734809
113,136011,45.35147892,25.458235,59.05257663,27.08898545,3.296792171,84.01673394,0.293358625,3.092396938,0.044114079,9.435266265,1.299673874,42.44340682,41395,2.623819302,0.072405908,1.194756306,10.77118762,64390,16.5,10.44927636,2,-73.93040596,40.79664779,258.712963,49849,108,4,698.3741874,0.407407407,0.185185185,0.138888889,0.268518519,0.367301174
