"","FIPS","V1","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","REPDIST","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Weapon.Used.Code","Weapon.Description","Status.Code","Status.Description","Crime.Code.1","Crime.Code.2","Crime.Code.3","Crime.Code.4","Address","Cross.Street","Location","RPT_DELAY","RPT_DELAY_1DAY","RPT_DELAY_1WEEK","RPT_DELAY_1MONTH","RPT_DELAY_MONTHS","lat","lon","OBJECTID","COUNTY","STATE","POPULATION","SQMI","ID","sourceCoun","ENRICH_FID","aggregatio","HasData","CIVLBFR_CY","EMP_CY","INDAGRI_CY","INDMIN_CY","INDCONS_CY","INDMANU_CY","INDWHTR_CY","INDRTTR_CY","INDTRAN_CY","INDUTIL_CY","INDINFO_CY","INDFIN_CY","INDRE_CY","INDTECH_CY","INDMGMT_CY","INDADMN_CY","INDEDUC_CY","INDHLTH_CY","INDARTS_CY","INDFOOD_CY","INDOTSV_CY","INDPUBL_CY","UNEMP_CY","UNEMPRT_CY","pop.total","pop.male","pop.u20","pop.20.64","pop.o64","pop.married","pop.white","pop.black","pop.native","pop.asian","pop.pacific","pop.latino","occupants.1.5","rent.35.income","occ.units","pop.single.hh","hh.size","no.school","poverty","med.income","pop.no.insur","pop.unempl","vict.white","vict.black","vict.latin","vict.asian"
"1","06037101110",749224,151610476,"2015-06-26","2015-06-25",800,16,"Foothill",1638,121,"RAPE, FORCIBLE","0500 1501 1261 1822 1202",61,"F","B",510,"NURSING/CONVALESCENT/RETIREMENT HOME",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"7600    WYNGATE                      ST","","(34.2574, -118.2979)",1,1,1,1,0,34.2574,-118.2979,"1537","Los Angeles","CA","4804",0.44,"536","US","1537","BlockApportionment:US.BlockGroups","1","2474","2332","0","0","168","242","66","176","62","10","241","19","42","127","0","172","232","319","38","128","181","109","142",5.7,4667,48.7,24.3,62.2,13.5,25.3267623741161,73.8,2.2,0.3,7.3,0.2,35.2,1.2,58.2,1634,12.5348189415042,2.795,21.5,13.9,49294,5.4,5.5,0,1,0,0
"2","06037101110",345453,131606163,"2013-02-26","2013-02-26",1100,16,"Foothill",1619,121,"RAPE, FORCIBLE","0536 0527 1822 0501 0542 0526 1022",22,"F","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"TUJUNGA CANYON","HILLROSE","(34.2629, -118.2943)",0,1,1,1,0,34.2629,-118.2943,"1537","Los Angeles","CA","4804",0.44,"536","US","1537","BlockApportionment:US.BlockGroups","1","2474","2332","0","0","168","242","66","176","62","10","241","19","42","127","0","172","232","319","38","128","181","109","142",5.7,4667,48.7,24.3,62.2,13.5,25.3267623741161,73.8,2.2,0.3,7.3,0.2,35.2,1.2,58.2,1634,12.5348189415042,2.795,21.5,13.9,49294,5.4,5.5,1,0,0,0
"3","06037101110",534674,141600593,"2014-01-20","2014-01-20",1500,16,"Foothill",1638,121,"RAPE, FORCIBLE","1402 1415 1259 1251 0527 0533 0510 0419",16,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","JO","Juv Other",121,998,NA,NA,"10500    REDMONT                      AV","","(34.2596, -118.2923)",0,1,1,1,0,34.2596,-118.2923,"1537","Los Angeles","CA","4804",0.44,"536","US","1537","BlockApportionment:US.BlockGroups","1","2474","2332","0","0","168","242","66","176","62","10","241","19","42","127","0","172","232","319","38","128","181","109","142",5.7,4667,48.7,24.3,62.2,13.5,25.3267623741161,73.8,2.2,0.3,7.3,0.2,35.2,1.2,58.2,1634,12.5348189415042,2.795,21.5,13.9,49294,5.4,5.5,0,0,1,0
"4","06037101122",262859,121612344,"2012-07-04","2012-06-27",2200,16,"Foothill",1618,121,"RAPE, FORCIBLE","1402 0500 0522",28,"F","O",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,998,NA,NA,"7600    WENTWORTH                    ST","","(34.2669, -118.2979)",7,0,1,1,0,34.2669,-118.2979,"1538","Los Angeles","CA","3662",1.02,"537","US","1538","BlockApportionment:US.BlockGroups","1","2339","2210","5","0","107","242","11","212","31","12","73","110","147","151","0","69","283","331","78","78","197","73","129",5.5,3301,48.7,15.5,68.9,15.6,31.626779763708,83,0.4,3,9.8,0,12.8,1,29.1,1242,16.2677976370797,2.715,7.1,4.1,86081,7.1,5.3,0,0,0,0
"5","06037101210",265698,121618535,"2012-11-27","2012-10-28",330,16,"Foothill",1657,121,"RAPE, FORCIBLE","1820 2002 0527 0515 0510 1206",22,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,NA,NA,NA,"10200    MOUNTAIR                     AV","","(34.2542, -118.2932)",30,0,0,1,0,34.2542,-118.2932,"1539","Los Angeles","CA","6196",0.25,"538","US","1539","BlockApportionment:US.BlockGroups","1","3295","3119","32","0","390","121","18","296","91","0","53","59","115","263","0","272","140","619","65","281","271","33","176",5.3,5791,51.2,24,66.9,9.10000000000001,19.4439647729235,67.4,4.6,0,4.9,0.4,50.5,5.5,51.9,2304,14.9024348126403,2.215,23,26.9,36701,1.1,7.5,0,0,1,0
"6","06037101210",540848,141615853,"2014-11-17","2014-10-01",300,16,"Foothill",1657,121,"RAPE, FORCIBLE","0527 1202",60,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",121,NA,NA,NA,"10100    SAMOA                        AV","","(34.2523, -118.2873)",47,0,0,0,1,34.2523,-118.2873,"1539","Los Angeles","CA","6196",0.25,"538","US","1539","BlockApportionment:US.BlockGroups","1","3295","3119","32","0","390","121","18","296","91","0","53","59","115","263","0","272","140","619","65","281","271","33","176",5.3,5791,51.2,24,66.9,9.10000000000001,19.4439647729235,67.4,4.6,0,4.9,0.4,50.5,5.5,51.9,2304,14.9024348126403,2.215,23,26.9,36701,1.1,7.5,1,0,0,0
"7","06037101210",536382,141606525,"2014-03-13","2014-03-11",1500,16,"Foothill",1657,121,"RAPE, FORCIBLE","0522 0527",32,"F","O",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"COMMERCE","FOOTHILL","(34.2491, -118.2886)",2,0,1,1,0,34.2491,-118.2886,"1539","Los Angeles","CA","6196",0.25,"538","US","1539","BlockApportionment:US.BlockGroups","1","3295","3119","32","0","390","121","18","296","91","0","53","59","115","263","0","272","140","619","65","281","271","33","176",5.3,5791,51.2,24,66.9,9.10000000000001,19.4439647729235,67.4,4.6,0,4.9,0.4,50.5,5.5,51.9,2304,14.9024348126403,2.215,23,26.9,36701,1.1,7.5,0,0,0,0
"8","06037101210",1025871,171608465,"2017-04-19","2016-10-07",1100,16,"Foothill",1638,121,"RAPE, FORCIBLE","1813 0500",42,"F","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,NA,NA,NA,"10300    COMMERCE                     AV","","(34.2559, -118.2886)",194,0,0,0,1,34.2559,-118.2886,"1539","Los Angeles","CA","6196",0.25,"538","US","1539","BlockApportionment:US.BlockGroups","1","3295","3119","32","0","390","121","18","296","91","0","53","59","115","263","0","272","140","619","65","281","271","33","176",5.3,5791,51.2,24,66.9,9.10000000000001,19.4439647729235,67.4,4.6,0,4.9,0.4,50.5,5.5,51.9,2304,14.9024348126403,2.215,23,26.9,36701,1.1,7.5,1,0,0,0
"9","06037101210",263395,121613492,"2012-08-04","2012-08-02",2300,16,"Foothill",1657,121,"RAPE, FORCIBLE","1821 0408 1415 0508 0422 0512 0519 0550 0532 0526",24,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,998,NA,NA,"10200    SAMOA                        AV","","(34.2541, -118.2873)",2,0,1,1,0,34.2541,-118.2873,"1539","Los Angeles","CA","6196",0.25,"538","US","1539","BlockApportionment:US.BlockGroups","1","3295","3119","32","0","390","121","18","296","91","0","53","59","115","263","0","272","140","619","65","281","271","33","176",5.3,5791,51.2,24,66.9,9.10000000000001,19.4439647729235,67.4,4.6,0,4.9,0.4,50.5,5.5,51.9,2304,14.9024348126403,2.215,23,26.9,36701,1.1,7.5,0,0,1,0
"10","06037101210",349185,131614040,"2013-09-06","2013-09-03",1,16,"Foothill",1657,121,"RAPE, FORCIBLE","0429 0532 1822 0444 0520 1414 0527 1402 1415",34,"F","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,998,NA,NA,"COMMERCE                     AV","GREELEY","(34.2496, -118.2886)",3,0,1,1,0,34.2496,-118.2886,"1539","Los Angeles","CA","6196",0.25,"538","US","1539","BlockApportionment:US.BlockGroups","1","3295","3119","32","0","390","121","18","296","91","0","53","59","115","263","0","272","140","619","65","281","271","33","176",5.3,5791,51.2,24,66.9,9.10000000000001,19.4439647729235,67.4,4.6,0,4.9,0.4,50.5,5.5,51.9,2304,14.9024348126403,2.215,23,26.9,36701,1.1,7.5,1,0,0,0
